name,age,gender,debut,last_award_grand,last_award_other,program_all,program,rating_year,rating_quater,duration,naver_datalab,google_trend,tv_hits,tv_likes,grand_award
MBC_김구라_2017,47,0,25,0,0,12,4,6.75,5.33,500,100,58,67694206,237971,0
SBS_미우새_2017(대상),73.5,1,2,0,0,1,1,17.63,19.86,68,8.86,64,74982345,153769,1
SBS_전현무_2017,40,0,15,0,1,7,1,8.3,9.8,37,100,17,66449352,291246,0
SBS_유재석_2017,45,0,27,0,0,4,2,6.06,7.19,383,46.23,30,118564312,629064,0
SBS_백종원_2017,51,0,3,0,0,2,1,3.84,0,94,31.38,100,22274779,59538,0
MBC_정준하_2016,45,0,22,0,0,5,1,12.3,12.1,513,65.24,72,41280518,171012,0
MBC_김성주_2016,44,0,12,0,1,7,2,13.88,13.13,91,17.34,100,22459052,58750,0
MBC_유재석_2016(수상),44,0,26,0,1,6,1,12.3,12.1,513,20.11,70,140973434,574982,1
MBC_김구라_2016,46,0,24,1,1,14,5,8.29,8.56,458,33.29,39,63074011,145092,0
KBS_이휘재_2016,44,0,25,1,0,9,4,11.22,10.56,162,2.64,32,15883632,60094,0
KBS_신동엽_2016,45,0,26,0,0,6,2,9.27,8.76,284,29.33,30,39083118,101131,0
KBS_김종민_2016(수상),37,0,14,0,1,3,2,16.51,17.32,625,6.22,65,20131851,66550,1
KBS_유재석_2016,44,0,26,0,0,6,1,6,6,667,77.67,100,140973434,574982,0
SBS_신동엽_2016(수상),45,0,26,0,0,6,2,11.56,12.07,18,37.75,36,39083118,101131,1
SBS_유재석_2016,44,0,26,1,1,6,3,6.7,6.43,331,100,100,140973434,574982,0
SBS_김구라_2016,46,0,24,1,1,14,4,5.99,0,61,33.29,58,63074011,145092,0
SBS_김병만_2016,41,0,15,1,1,4,3,12.49,11.88,246,19.87,49,19370634,76858,0
MBC_김구라_2015(대상),45,0,23,0,1,10,6,6.47,7.53,410,,100,300028,858,1
MBC_유재석_2015,43,0,25,1,0,6,1,17.5,16.2,460,,24,88045733,260540,0
MBC_김성주_2015,43,0,11,0,1,10,4,12.34,13.85,39,,4,130617692,397964,0
MBC_하하_2015,36,0,9,0,1,3,2,17.5,16.2,460,,16,80913728,123021,0
KBS_강호동_2015,45,0,23,0,0,6,2,4.95,4.46,137,,48,16338824,75070,0
KBS_차태현_2015,39,0,4,0,0,1,1,14.78,15.01,198,,26,746252,3663,0
KBS_이휘재_2015(수상),43,0,24,0,1,9,3,15.19,14.28,110,,35,6480902,34387,1
KBS_유재석_2015,43,0,25,1,0,6,1,4.3,4.3,617,,100,88045733,260540,0
SBS_유재석_2015(수상),43,0,25,0,1,6,3,9.46,7.55,279,,100,88045733,260540,1
SBS_김병만_2015(수상),40,0,14,0,0,6,4,12.4,11.87,193,,30,14235801,36868,1
SBS_강호동_2015,45,0,23,0,0,6,1,7.42,5.86,431,,46,16338824,75070,0
SBS_이경규_2015,55,0,35,1,0,5,3,4.61,4,193,,88,3650371,12756,0
MBC_박명수_2014,44,0,22,0,1,4,3,14.975,16.9,409,,34,687172,1548,0
MBC_유재석_2014(대상),42,0,24,0,0,5,1,14.975,16.9,410,,82,1867615,6259,1
MBC_김구라_2014,44,0,22,0,1,13,3,6.45,5.87,359,,100,1211920,1393,0
MBC_서경석_2014,42,0,22,0,1,2,1,13.64,11.86,86,,5,282024,600,0
KBS_유재석_2014(대상),42,0,24,0,0,5,2,7,7,566,,100,1867615,6259,1
KBS_김준호_2014,39,0,19,1,0,4,3,14.2,16.9,55,,75,293487,759,0
KBS_차태현_2014,38,0,3,0,1,1,1,14.2,16.9,146,,12,673012,2156,0
KBS_강호동_2014,44,0,22,0,0,3,1,5.45,4.7,86,,22,43328,41,0
SBS_이경규_2014(대상),54,0,34,0,1,6,2,6.04,4.87,164,,19,23567,31,1
SBS_김종국_2014,38,0,10,0,1,2,1,10.99,10.62,227,,26,702189,1146,0
SBS_유재석_2014,42,0,24,0,1,5,2,10.99,10.62,227,,100,1867615,6259,0
SBS_강호동_2014,44,0,22,0,0,3,1,9.61,9.43,395,,24,43328,41,0
MBC_아빠어디가_2013,38.8,0,1,0,0,1,1,14.68,14.96,52,,100,44865,28,1
MBC_유재석_2013,41,0,23,1,1,4,1,15.75,17.5,362,,36,96229,318,0
MBC_김수로_2013,43,0,15,0,0,1,1,15.06,16,38,,7,160772,108,0
MBC_박미선_2013,46,1,26,0,1,3,1,9.5,8.6,273,,3,2591,1,0
KBS_김준호_2013(수상),38,0,18,0,0,6,5,12.9,11.8,6,,13,20769,59,1
KBS_신동엽_2013,42,0,23,1,0,9,2,8.53,7.85,133,,100,1662109,3560,0
KBS_유재석_2013,41,0,23,0,0,4,1,8,8,519,,56,96229,318,0
KBS_강호동_2013,43,0,21,0,0,6,2,6.94,6.72,38,,28,2237,1,0
SBS_김병만_2013(수상),38,0,12,0,1,3,1,15.02,12.94,91,,53,21992,7,1
SBS_이경규_2013,53,0,33,0,1,4,2,7.35,6.35,122,,65,125979,76,0
SBS_송지효_2013,32,1,13,0,0,1,1,14.84,12.87,164,,100,37457,15,0
